experimento,metodo,tempo,distancia
1,Depht-First,0.1569003999902634,4143366.035995141
1,Breadth-First,0.2674384999991162,26037.10668365576
1,Best-First,0.5968180000054417,95247.62306748868
1,A Half,5.6948182999913115,23122.417738292206
1,A*,5.281653500001994,22941.437038220014
2,Depht-First,0.20891430000483524,6052928.512914814
2,Breadth-First,0.19370750000234693,16447.413684648433
2,Best-First,0.4883558000001358,63100.68118029997
2,A Half,9.9028263999935,14110.60547011872
2,A*,8.671449200002826,13811.317248712476
3,Depht-First,0.15285069998935796,5447126.939815174
3,Breadth-First,0.1704098000045633,14030.515302053587
3,Best-First,0.31102830001327675,46832.353395478174
3,A Half,6.211148400005186,10170.47731880814
3,A*,5.832722399994964,9802.266406718229
